hierarchyId	pCFID	name	fileName	verb	object	process
1.1.4.3	10036	Communicate strategic vision to stakeholders	10036-CommunicateStrategicVisionToStakeholders.mdx	Communicate	Strategic Vision To Stakeholders	Establish strategic vision
1.1.5.1	16793	Identify restructuring opportunities	16793-IdentifyRestructuringOpportunities.mdx	Identify	Restructuring Opportunities	Conduct organization restructuring opportunities
1.1.5.2	16794	Perform due-diligence	16794-PerformDueDiligence.mdx	Perform	Due-diligence	Conduct organization restructuring opportunities
1.1.5.3	16795	Analyze deal options	16795-AnalyzeDealOptions.mdx	Analyze	Deal Options	Conduct organization restructuring opportunities
1.2.1.1	10044	Define current business	10044-DefineCurrentBusiness.mdx	Define	Current Business	Develop overall mission statement
1.2.1.2	11303	Describe means to achieve desired state	11303-DescribeMeansToAchieveDesiredState.mdx	Describe	Means To Achieve Desired State	Develop overall mission statement
1.2.1.3	10045	Formulate mission	10045-FormulateMission.mdx	Formulate	Mission	Develop overall mission statement
1.2.1.4	10046	Communicate mission	10046-CommunicateMission.mdx	Communicate	Mission	Develop overall mission statement
1.2.2.1	10047	Define strategic options	10047-DefineStrategicOptions.mdx	Define	Strategic Options	Define and evaluate strategic options to achieve the objectives
1.2.2.2	10048	Assess and analyze impact of each option	10048-AssessAndAnalyzeImpactOfEachOption.mdx	Assess	And Analyze Impact Of Each Option	Define and evaluate strategic options to achieve the objectives
1.2.2.3	16800	Develop B2B strategy	16800-DevelopB2bStrategy.mdx	Develop	B2B Strategy	Define and evaluate strategic options to achieve the objectives
1.2.2.4	16802	Develop B2C strategy	16802-DevelopB2cStrategy.mdx	Develop	B2C Strategy	Define and evaluate strategic options to achieve the objectives
1.2.2.5	16803	Develop partner/alliance strategy	16803-DevelopPartnerAllianceStrategy.mdx	Develop	Partner/alliance Strategy	Define and evaluate strategic options to achieve the objectives
1.2.2.6	16805	Develop merger/demerger/acquisition/exit strategy	16805-DevelopMergerDemergerAcquisitionExitStrategy.mdx	Develop	Merger/demerger/acquisition/exit Strategy	Define and evaluate strategic options to achieve the objectives
1.2.2.7	16806	Develop innovation strategy	16806-DevelopInnovationStrategy.mdx	Develop	Innovation Strategy	Define and evaluate strategic options to achieve the objectives
1.2.2.8	14189	Develop sustainability strategy	14189-DevelopSustainabilityStrategy.mdx	Develop	Sustainability Strategy	Define and evaluate strategic options to achieve the objectives
1.2.2.9	19950	Develop global support strategy	19950-DevelopGlobalSupportStrategy.mdx	Develop	Global Support Strategy	Define and evaluate strategic options to achieve the objectives
1.2.2.10	19951	Develop shared services strategy	19951-DevelopSharedServicesStrategy.mdx	Develop	Shared Services Strategy	Define and evaluate strategic options to achieve the objectives
1.2.2.11	14197	Develop lean/continuous improvement strategy	14197-DevelopLeanContinuousImprovementStrategy.mdx	Develop	Lean/continuous Improvement Strategy	Define and evaluate strategic options to achieve the objectives
1.2.2.12	19952	Develop innovation strategy and framework	19952-DevelopInnovationStrategyAndFramework.mdx	Develop	Innovation Strategy And Framework	Define and evaluate strategic options to achieve the objectives
1.2.2.13	19630	Develop long term business transformational strategies	19630-DevelopLongTermBusinessTransformationalStrategies.mdx	Develop	Long Term Business Transformational Strategies	Define and evaluate strategic options to achieve the objectives
1.2.4.1	10049	Evaluate breadth and depth of organizational structure	10049-EvaluateBreadthAndDepthOfOrganizationalStructure.mdx	Evaluate	Breadth And Depth Of Organizational Structure	Create organizational design
1.2.4.2	10050	Perform job-specific roles mapping and value-added analyses	10050-PerformJobSpecificRolesMappingAndValueAddedAnalyses.mdx	Perform	Job-specific Roles Mapping And Value-added Analyses	Create organizational design
1.2.4.3	10051	Develop role activity diagrams to assess hand-off activity	10051-DevelopRoleActivityDiagramsToAssessHandOffActivity.mdx	Develop	Role Activity Diagrams To Assess Hand-off Activity	Create organizational design
1.2.4.4	10052	Perform organization redesign workshops	10052-PerformOrganizationRedesignWorkshops.mdx	Perform	Organization Redesign Workshops	Create organizational design
1.2.4.5	10053	Design the relationships between organizational units	10053-DesignTheRelationshipsBetweenOrganizationalUnits.mdx	Design	Relationships Between Organizational Units	Create organizational design
1.2.4.6	10054	Develop role analysis and activity diagrams for key processes	10054-DevelopRoleAnalysisAndActivityDiagramsForKeyProcesses.mdx	Develop	Role Analysis And Activity Diagrams For Key Processes	Create organizational design
1.2.4.7	10055	Assess organizational implication of feasible alternatives	10055-AssessOrganizationalImplicationOfFeasibleAlternatives.mdx	Assess	Organizational Implication Of Feasible Alternatives	Create organizational design
1.2.4.8	10056	Migrate to new organization	10056-MigrateToNewOrganization.mdx	Migrate	To New Organization	Create organizational design
1.2.5.1	19953	Identify organizational goals	19953-IdentifyOrganizationalGoals.mdx	Identify	Organizational Goals	Develop and set organizational goals
1.2.5.2	19954	Establish baseline metrics	19954-EstablishBaselineMetrics.mdx	Establish	Baseline Metrics	Develop and set organizational goals
1.2.5.3	19955	Monitor performance against goals	19955-MonitorPerformanceAgainstGoals.mdx	Monitor	Performance Against Goals	Develop and set organizational goals
1.2.6.1	19956	Analyze business unit strategies	19956-AnalyzeBusinessUnitStrategies.mdx	Analyze	Business Unit Strategies	Formulate business unit strategies
1.2.6.2	19957	Identify core competency for each business unit	19957-IdentifyCoreCompetencyForEachBusinessUnit.mdx	Identify	Core Competency For Each Business Unit	Formulate business unit strategies
1.2.6.3	19958	Refine business unit strategies in support of company strategy	19958-RefineBusinessUnitStrategiesInSupportOfCompanyStrategy.mdx	Refine	Business Unit Strategies In Support Of Company Strategy	Formulate business unit strategies
1.2.7.1	19960	Assess customer experience	19960-AssessCustomerExperience.mdx	Assess	Customer Experience	Develop customer experience strategy
1.2.7.2	19964	Design customer experience	19964-DesignCustomerExperience.mdx	Design	Customer Experience	Develop customer experience strategy
1.2.7.3	19971	Design customer experience support structure	19971-DesignCustomerExperienceSupportStructure.mdx	Design	Customer Experience Support Structure	Develop customer experience strategy
1.2.7.4	19974	Develop customer experience roadmap to develop and implement defined capabilities	19974-DevelopCustomerExperienceRoadmapToDevelopAndImplementDefinedCapabilities.mdx	Develop	Customer Experience Roadmap To Develop And Implement Defined Capabilities	Develop customer experience strategy
1.2.9.1	11305	Set corporate financial targets	11305-SetCorporateFinancialTargets.mdx	Set	Corporate Financial Targets	Develop financial strategies
1.2.9.2	11306	Communicate targets to operating divisions	11306-CommunicateTargetsToOperatingDivisions.mdx	Communicate	Targets To Operating Divisions	Develop financial strategies
1.2.10.1	11308	Determine growth potential	11308-DetermineGrowthPotential.mdx	Determine	Growth Potential	Analyze portfolio positioning
1.2.10.2	11309	Determine relative market share	11309-DetermineRelativeMarketShare.mdx	Determine	Relative Market Share	Analyze portfolio positioning
1.2.10.3	11310	Assess cash flow potential	11310-AssessCashFlowPotential.mdx	Assess	Cash Flow Potential	Analyze portfolio positioning
1.2.10.4	11311	Determine optimal portfolio	11311-DetermineOptimalPortfolio.mdx	Determine	Optimal Portfolio	Analyze portfolio positioning
1.4.1.1	20946	Assemble business model information	20946-AssembleBusinessModelInformation.mdx	Assemble	Business Model Information	Develop business models
1.4.1.2	20947	Secure appropriate approvals	20947-SecureAppropriateApprovals.mdx	Secure	Appropriate Approvals	Develop business models
1.4.1.3	20948	Identify integration points with existing models	20948-IdentifyIntegrationPointsWithExistingModels.mdx	Identify	Integration Points With Existing Models	Develop business models
1.4.1.4	20949	Adopt the business model	20949-AdoptTheBusinessModel.mdx	Adopt	Business Model	Develop business models
1.4.2.1	20951	Establish business model maintenance parameters	20951-EstablishBusinessModelMaintenanceParameters.mdx	Establish	Business Model Maintenance Parameters	Maintain business models
1.4.2.2	20952	Accept business model feedback parameters	20952-AcceptBusinessModelFeedbackParameters.mdx	Accept	Business Model Feedback Parameters	Maintain business models
1.4.2.3	20953	Prioritize and manage incoming feedback	20953-PrioritizeAndManageIncomingFeedback.mdx	Prioritize	And Manage Incoming Feedback	Maintain business models
1.4.2.4	20954	Update existing models	20954-UpdateExistingModels.mdx	Update	Existing Models	Maintain business models
2.1.1.1	10063	Evaluate performance of existing products/services against market opportunities	10063-EvaluatePerformanceOfExistingProductsServicesAgainstMarketOpportunities.mdx	Evaluate	Performance Of Existing Products/services Against Market Opportunities	Manage product and service portfolio
2.1.1.2	10066	Confirm alignment of product/service concepts with business strategy	10066-ConfirmAlignmentOfProductServiceConceptsWithBusinessStrategy.mdx	Confirm	Alignment Of Product/service Concepts With Business Strategy	Manage product and service portfolio
2.1.1.3	10074	Prioritize and select new product/service concepts	10074-PrioritizeAndSelectNewProductServiceConcepts.mdx	Prioritize	And Select New Product/service Concepts	Manage product and service portfolio
2.1.1.4	10073	Plan and develop cost and quality targets	10073-PlanAndDevelopCostAndQualityTargets.mdx	Plan	And Develop Cost And Quality Targets	Manage product and service portfolio
2.1.1.5	10075	Specify development timing targets	10075-SpecifyDevelopmentTimingTargets.mdx	Specify	Development Timing Targets	Manage product and service portfolio
2.1.1.6	10076	Plan for product/service offering modifications	10076-PlanForProductServiceOfferingModifications.mdx	Plan	For Product/service Offering Modifications	Manage product and service portfolio
2.1.2.1	16824	Develop plan for new product/service development and introduction/launch	16824-DevelopPlanForNewProductServiceDevelopmentAndIntroductionLaunch.mdx	Develop	Plan For New Product/service Development And Introduction/launch	Manage product and service life cycle
2.1.2.2	10077	Introduce new products/services	10077-IntroduceNewProductsServices.mdx	Introduce	New Products/services	Manage product and service life cycle
2.1.2.3	10078	Retire outdated products/services	10078-RetireOutdatedProductsServices.mdx	Retire	Outdated Products/services	Manage product and service life cycle
2.1.2.4	10079	Identify and refine performance indicators	10079-IdentifyAndRefinePerformanceIndicators.mdx	Identify	And Refine Performance Indicators	Manage product and service life cycle
2.1.2.5	11423	Conduct post launch review	11423-ConductPostLaunchReview.mdx	Conduct	Post Launch Review	Manage product and service life cycle
2.1.3.1	19941	Conduct mandatory and elective reviews	19941-ConductMandatoryAndElectiveReviews.mdx	Conduct	Mandatory And Elective Reviews	Manage patents, copyrights, and regulatory requirements
2.1.3.2	16826	Review infringement of patents and copyrights	16826-ReviewInfringementOfPatentsAndCopyrights.mdx	Review	Infringement Of Patents And Copyrights	Manage patents, copyrights, and regulatory requirements
2.1.3.3	16827	Determine patent and copyright needs	16827-DeterminePatentAndCopyrightNeeds.mdx	Determine	Patent And Copyright Needs	Manage patents, copyrights, and regulatory requirements
2.1.3.4	19697	Define product technical documentation management requirements	19697-DefineProductTechnicalDocumentationManagementRequirements.mdx	Define	Product Technical Documentation Management Requirements	Manage patents, copyrights, and regulatory requirements
2.1.3.5	12771	Manage regulatory requirements	12771-ManageRegulatoryRequirements.mdx	Manage	Regulatory Requirements	Manage patents, copyrights, and regulatory requirements
2.1.4.1	11741	Manage materials master lists	11741-ManageMaterialsMasterLists.mdx	Manage	Materials Master Lists	Manage product and service master data
2.1.4.2	11742	Manage bills of material	11742-ManageBillsOfMaterial.mdx	Manage	Bills Of Material	Manage product and service master data
2.1.4.3	11743	Manage routings	11743-ManageRoutings.mdx	Manage	Routings	Manage product and service master data
2.1.4.4	11744	Manage specifications	11744-ManageSpecifications.mdx	Manage	Specifications	Manage product and service master data
2.1.4.5	11745	Manage drawings	11745-ManageDrawings.mdx	Manage	Drawings	Manage product and service master data
2.1.4.6	11746	Manage product/material classification	11746-ManageProductMaterialClassification.mdx	Manage	Product/material Classification	Manage product and service master data
2.1.4.7	11747	Develop and maintain quality/inspection documents	11747-DevelopAndMaintainQualityInspectionDocuments.mdx	Develop	And Maintain Quality/inspection Documents	Manage product and service master data
2.1.4.8	11748	Maintain process specification data	11748-MaintainProcessSpecificationData.mdx	Maintain	Process Specification Data	Manage product and service master data
2.1.4.9	11749	Manage traceability data	11749-ManageTraceabilityData.mdx	Manage	Traceability Data	Manage product and service master data
2.1.4.10	11750	Review and approve data access requests	11750-ReviewAndApproveDataAccessRequests.mdx	Review	And Approve Data Access Requests	Manage product and service master data
2.2.1.1	10070	Identify new technologies	10070-IdentifyNewTechnologies.mdx	Identify	New Technologies	Perform discovery research
2.2.1.2	10071	Develop new technologies	10071-DevelopNewTechnologies.mdx	Develop	New Technologies	Perform discovery research
2.2.1.3	10072	Assess feasibility of integrating new leading technologies into product/service concepts	10072-AssessFeasibilityOfIntegratingNewLeadingTechnologiesIntoProductServiceConcepts.mdx	Assess	Feasibility Of Integrating New Leading Technologies Into Product/service Concepts	Perform discovery research
2.2.2.1	19986	Gather new product/service ideas and requirements	19986-GatherNewProductServiceIdeasAndRequirements.mdx	Gather	New Product/service Ideas And Requirements	Generate new product/service concepts
2.2.2.2	19987	Analyze new product/service ideas and requirements	19987-AnalyzeNewProductServiceIdeasAndRequirements.mdx	Analyze	New Product/service Ideas And Requirements	Generate new product/service concepts
2.2.2.3	19988	Evaluate new product/service inputs and requirements	19988-EvaluateNewProductServiceInputsAndRequirements.mdx	Evaluate	New Product/service Inputs And Requirements	Generate new product/service concepts
2.2.2.4	19989	Formulate new product/service concepts	19989-FormulateNewProductServiceConcepts.mdx	Formulate	New Product/service Concepts	Generate new product/service concepts
2.2.2.5	10068	Identify potential improvements to existing products and services	10068-IdentifyPotentialImprovementsToExistingProductsAndServices.mdx	Identify	Potential Improvements To Existing Products And Services	Generate new product/service concepts
2.2.3.1	11331	Define product/service requirements	11331-DefineProductServiceRequirements.mdx	Define	Product/service Requirements	Define product/service development requirements
2.2.3.2	16815	Define post launch support model	16815-DefinePostLaunchSupportModel.mdx	Define	Post Launch Support Model	Define product/service development requirements
2.2.3.3	17389	Identify product/service bundling opportunities	17389-IdentifyProductServiceBundlingOpportunities.mdx	Identify	Product/service Bundling Opportunities	Define product/service development requirements
2.3.1.1	10083	Assign resources to product/service project	10083-AssignResourcesToProductServiceProject.mdx	Assign	Resources To Product/service Project	Design and prototype products and services
2.3.1.2	10084	Prepare high-level business case and technical assessment	10084-PrepareHighLevelBusinessCaseAndTechnicalAssessment.mdx	Prepare	High-level Business Case And Technical Assessment	Design and prototype products and services
2.3.1.3	10085	Develop product/service design specifications	10085-DevelopProductServiceDesignSpecifications.mdx	Develop	Product/service Design Specifications	Design and prototype products and services
2.3.1.4	16813	Develop user experience design specifications	16813-DevelopUserExperienceDesignSpecifications.mdx	Develop	User Experience Design Specifications	Design and prototype products and services
2.3.1.5	16817	Provide warranty-related recommendations	16817-ProvideWarrantyRelatedRecommendations.mdx	Provide	Warranty-related Recommendations	Design and prototype products and services
2.3.1.6	10086	Document design specifications	10086-DocumentDesignSpecifications.mdx	Document	Design Specifications	Design and prototype products and services
2.3.1.7	10087	Conduct mandatory and elective external reviews	10087-ConductMandatoryAndElectiveExternalReviews.mdx	Conduct	Mandatory And Elective External Reviews	Design and prototype products and services
2.3.1.8	19995	Design products/services	19995-DesignProductsServices.mdx	Design	Products/services	Design and prototype products and services
2.3.1.9	10088	Build prototypes/proof of concepts	10088-BuildPrototypesProofOfConcepts.mdx	Build	Prototypes/proof Of Concepts	Design and prototype products and services
2.3.1.10	10098	Develop and test prototype production and/or service delivery process	10098-DevelopAndTestPrototypeProductionAndOrServiceDeliveryProcess.mdx	Develop	And Test Prototype Production And/or Service Delivery Process	Design and prototype products and services
2.3.1.11	10089	Eliminate quality and reliability problems	10089-EliminateQualityAndReliabilityProblems.mdx	Eliminate	Quality And Reliability Problems	Design and prototype products and services
2.3.1.12	10092	Collaborate on design with suppliers and external partners	10092-CollaborateOnDesignWithSuppliersAndExternalPartners.mdx	Collaborate	On Design With Suppliers And External Partners	Design and prototype products and services
2.3.1.13	19635	Develop first run/sample products	19635-DevelopFirstRunSampleProducts.mdx	Develop	First Run/sample Products	Design and prototype products and services
2.3.2.1	11678	Conduct consumer/shoppers tests and interviews	11678-ConductConsumerShoppersTestsAndInterviews.mdx	Conduct	Consumer/shoppers Tests And Interviews	Test market for new or revised products and services
2.3.2.2	11375	Conduct clinical and product claims testing	11375-ConductClinicalAndProductClaimsTesting.mdx	Conduct	Clinical And Product Claims Testing	Test market for new or revised products and services
2.3.2.3	10096	Finalize technical requirements	10096-FinalizeTechnicalRequirements.mdx	Finalize	Technical Requirements	Test market for new or revised products and services
2.3.2.4	10097	Identify requirements for changes to manufacturing/delivery processes	10097-IdentifyRequirementsForChangesToManufacturingDeliveryProcesses.mdx	Identify	Requirements For Changes To Manufacturing/delivery Processes	Test market for new or revised products and services
2.3.2.5	11379	Conduct legal/regulatory/medical review	11379-ConductLegalRegulatoryMedicalReview.mdx	Conduct	Legal/regulatory/medical Review	Test market for new or revised products and services
2.3.2.6	10095	Finalize product/service characteristics and business cases	10095-FinalizeProductServiceCharacteristicsAndBusinessCases.mdx	Finalize	Product/service Characteristics And Business Cases	Test market for new or revised products and services
2.3.3.1	10099	Design and obtain necessary materials and equipment	10099-DesignAndObtainNecessaryMaterialsAndEquipment.mdx	Design	And Obtain Necessary Materials And Equipment	Prepare for production and marketplace introduction
2.3.3.2	10100	Install and validate production process or methodology	10100-InstallAndValidateProductionProcessOrMethodology.mdx	Install	And Validate Production Process Or Methodology	Prepare for production and marketplace introduction
2.3.3.3	11384	Determine plan for new product development and introduction	11384-DeterminePlanForNewProductDevelopmentAndIntroduction.mdx	Determine	Plan For New Product Development And Introduction	Prepare for production and marketplace introduction
2.3.3.4	11386	Identify licensing and co-branding opportunities	11386-IdentifyLicensingAndCoBrandingOpportunities.mdx	Identify	Licensing And Co-branding Opportunities	Prepare for production and marketplace introduction
2.3.3.5	11391	Disseminate new item and price information	11391-DisseminateNewItemAndPriceInformation.mdx	Disseminate	New Item And Price Information	Prepare for production and marketplace introduction
2.3.3.6	11392	Coordinate introduction of products and sunset obsolete products with retailers/distributors	11392-CoordinateIntroductionOfProductsAndSunsetObsoleteProductsWithRetailersDistributors.mdx	Coordinate	Introduction Of Products And Sunset Obsolete Products With Retailers/distributors	Prepare for production and marketplace introduction
2.3.3.7	11399	Manage questions and issues associated with product introduction	11399-ManageQuestionsAndIssuesAssociatedWithProductIntroduction.mdx	Manage	Questions And Issues Associated With Product Introduction	Prepare for production and marketplace introduction
2.3.4.1	11417	Monitor production runs	11417-MonitorProductionRuns.mdx	Monitor	Production Runs	Support and implement changes to product manufacturing and service delivery process
2.3.4.2	11418	Request engineering change	11418-RequestEngineeringChange.mdx	Request	Engineering Change	Support and implement changes to product manufacturing and service delivery process
2.3.4.3	11419	Manage engineering change orders	11419-ManageEngineeringChangeOrders.mdx	Manage	Engineering Change Orders	Support and implement changes to product manufacturing and service delivery process
2.3.4.4	11420	Identify product/service design and configuration changes	11420-IdentifyProductServiceDesignAndConfigurationChanges.mdx	Identify	Product/service Design And Configuration Changes	Support and implement changes to product manufacturing and service delivery process
2.3.4.5	11421	Capture feedback to refine existing products and services process	11421-CaptureFeedbackToRefineExistingProductsAndServicesProcess.mdx	Capture	Feedback To Refine Existing Products And Services Process	Support and implement changes to product manufacturing and service delivery process
2.3.4.6	11422	Identify manufacturing/service delivery process performance indicators	11422-IdentifyManufacturingServiceDeliveryProcessPerformanceIndicators.mdx	Identify	Manufacturing/service Delivery Process Performance Indicators	Support and implement changes to product manufacturing and service delivery process
3.1.1.1	19636	Conduct customer and market research	19636-ConductCustomerAndMarketResearch.mdx	Conduct	Customer And Market Research	Perform customer and market intelligence analysis
3.1.1.2	11432	Develop consumer/shopper market insight and identify trends	11432-DevelopConsumerShopperMarketInsightAndIdentifyTrends.mdx	Develop	Consumer/shopper Market Insight And Identify Trends	Perform customer and market intelligence analysis
3.1.1.3	19639	Study consumer insights and trends	19639-StudyConsumerInsightsAndTrends.mdx	Study	Consumer Insights And Trends	Perform customer and market intelligence analysis
3.1.1.4	10109	Identify market segments	10109-IdentifyMarketSegments.mdx	Identify	Market Segments	Perform customer and market intelligence analysis
3.1.1.5	10110	Analyze market and industry trends	10110-AnalyzeMarketAndIndustryTrends.mdx	Analyze	Market And Industry Trends	Perform customer and market intelligence analysis
3.1.1.6	10111	Analyze competing organizations, competitive/substitute products/services	10111-AnalyzeCompetingOrganizationsCompetitiveSubstituteProductsServices.mdx	Analyze	Competing Organizations, Competitive/substitute Products/services	Perform customer and market intelligence analysis
3.1.1.7	10112	Evaluate existing products/services	10112-EvaluateExistingProductsServices.mdx	Evaluate	Existing Products/services	Perform customer and market intelligence analysis
3.1.1.8	10113	Assess internal and external business environment	10113-AssessInternalAndExternalBusinessEnvironment.mdx	Assess	Internal And External Business Environment	Perform customer and market intelligence analysis
3.1.2.1	10116	Quantify market opportunities	10116-QuantifyMarketOpportunities.mdx	Quantify	Market Opportunities	Evaluate and prioritize market opportunities
3.1.2.2	10117	Determine target segments	10117-DetermineTargetSegments.mdx	Determine	Target Segments	Evaluate and prioritize market opportunities
3.1.2.3	10118	Prioritize opportunities consistent with capabilities and overall business strategy	10118-PrioritizeOpportunitiesConsistentWithCapabilitiesAndOverallBusinessStrategy.mdx	Prioritize	Opportunities Consistent With Capabilities And Overall Business Strategy	Evaluate and prioritize market opportunities
3.1.2.4	10119	Validate opportunities	10119-ValidateOpportunities.mdx	Validate	Opportunities	Evaluate and prioritize market opportunities
3.2.1.1	11169	Define offering and positioning	11169-DefineOfferingAndPositioning.mdx	Define	Offering And Positioning	Define offering and customer value proposition
3.2.1.2	11170	Develop value proposition including brand positioning for target segments	11170-DevelopValuePropositionIncludingBrandPositioningForTargetSegments.mdx	Develop	Value Proposition Including Brand Positioning For Target Segments	Define offering and customer value proposition
3.2.1.3	11171	Validate value proposition with target segments	11171-ValidateValuePropositionWithTargetSegments.mdx	Validate	Value Proposition With Target Segments	Define offering and customer value proposition
3.2.1.4	11172	Develop new branding	11172-DevelopNewBranding.mdx	Develop	New Branding	Define offering and customer value proposition
3.2.2.1	13169	Conduct pricing analysis	13169-ConductPricingAnalysis.mdx	Conduct	Pricing Analysis	Define pricing strategy
3.2.2.2	10124	Establish guidelines for applying pricing and discounting of products/services	10124-EstablishGuidelinesForApplyingPricingAndDiscountingOfProductsServices.mdx	Establish	Guidelines For Applying Pricing And Discounting Of Products/services	Define pricing strategy
3.2.2.3	19999	Establish pricing targets	19999-EstablishPricingTargets.mdx	Establish	Pricing Targets	Define pricing strategy
3.2.2.4	10125	Approve pricing strategies/policies and targets	10125-ApprovePricingStrategiesPoliciesAndTargets.mdx	Approve	Pricing Strategies/policies And Targets	Define pricing strategy
3.2.3.1	19640	Conduct brand level social sentiment analysis	19640-ConductBrandLevelSocialSentimentAnalysis.mdx	Conduct	Brand Level Social Sentiment Analysis	Develop and manage brands
3.2.3.2	11446	Develop marketing strategy for new and existing brands	11446-DevelopMarketingStrategyForNewAndExistingBrands.mdx	Develop	Marketing Strategy For New And Existing Brands	Develop and manage brands
3.2.3.3	11447	Define brand equity position	11447-DefineBrandEquityPosition.mdx	Define	Brand Equity Position	Develop and manage brands
3.2.3.4	11448	Assess brand performance management	11448-AssessBrandPerformanceManagement.mdx	Assess	Brand Performance Management	Develop and manage brands
3.2.4.1	20001	Determine channels to be supported	20001-DetermineChannelsToBeSupported.mdx	Determine	Channels To Be Supported	Define and manage channel strategy
3.2.4.2	20002	Establish channel objectives	20002-EstablishChannelObjectives.mdx	Establish	Channel Objectives	Define and manage channel strategy
3.2.4.3	10127	Determine channel role and fit with target segments	10127-DetermineChannelRoleAndFitWithTargetSegments.mdx	Determine	Channel Role And Fit With Target Segments	Define and manage channel strategy
3.2.4.4	10128	Select channels for target segments	10128-SelectChannelsForTargetSegments.mdx	Select	Channels For Target Segments	Define and manage channel strategy
3.2.4.5	20003	Identify required channel capabilities	20003-IdentifyRequiredChannelCapabilities.mdx	Identify	Required Channel Capabilities	Define and manage channel strategy
3.2.4.6	10126	Evaluate channel attributes and potential partners	10126-EvaluateChannelAttributesAndPotentialPartners.mdx	Evaluate	Channel Attributes And Potential Partners	Define and manage channel strategy
3.2.4.7	20004	Orchestrate seamless customer experience across supported channels	20004-OrchestrateSeamlessCustomerExperienceAcrossSupportedChannels.mdx	Orchestrate	Seamless Customer Experience Across Supported Channels	Define and manage channel strategy
3.2.4.8	20005	Develop and manage execution roadmap	20005-DevelopAndManageExecutionRoadmap.mdx	Develop	And Manage Execution Roadmap	Define and manage channel strategy
3.2.4.9	11458	Define and manage channel/store format strategy	11458-DefineAndManageChannelStoreFormatStrategy.mdx	Define	And Manage Channel/store Format Strategy	Define and manage channel strategy
3.2.5.1	16573	Establish channel-specific metrics and targets	16573-EstablishChannelSpecificMetricsAndTargets.mdx	Establish	Channel-specific Metrics And Targets	Analyze and manage channel performance
3.2.5.2	16574	Monitor and report performance	16574-MonitorAndReportPerformance.mdx	Monitor	And Report Performance	Analyze and manage channel performance
