hierarchyId	pCFID	name	fileName	verb	object	activity
1.2.7.3.1	19972	Identify required capabilities	19972-IdentifyRequiredCapabilities.mdx	Identify	Required Capabilities	Design customer experience support structure
1.2.7.3.2	19973	Identify impact on functional processes	19973-IdentifyImpactOnFunctionalProcesses.mdx	Identify	Impact On Functional Processes	Design customer experience support structure
2.1.2.5.1	19646	Carry out post launch analytics to test the acceptability in the market	19646-CarryOutPostLaunchAnalyticsToTestTheAcceptabilityInTheMarket.mdx	Carry	Out Post Launch Analytics To Test Acceptability In Market	Conduct post launch review
2.1.2.5.2	11424	Review market performance by country and geographic area	11424-ReviewMarketPerformanceByCountryAndGeographicArea.mdx	Review	Market Performance By Country And Geographic Area	Conduct post launch review
2.1.2.5.3	11425	Review effectiveness of supply chain and distribution network	11425-ReviewEffectivenessOfSupplyChainAndDistributionNetwork.mdx	Review	Effectiveness Of Supply Chain And Distribution Network	Conduct post launch review
2.1.2.5.4	19647	Apply data and analytics review to supply chain methodologies	19647-ApplyDataAndAnalyticsReviewToSupplyChainMethodologies.mdx	Apply	Data And Analytics Review To Supply Chain Methodologies	Conduct post launch review
2.1.2.5.5	11426	Review quality and performance of the product	11426-ReviewQualityAndPerformanceOfTheProduct.mdx	Review	Quality And Performance Of Product	Conduct post launch review
2.1.2.5.6	11427	Conduct financial review	11427-ConductFinancialReview.mdx	Conduct	Financial Review	Conduct post launch review
2.1.2.5.7	11428	Conduct NPD process assessment	11428-ConductNpdProcessAssessment.mdx	Conduct	NPD Process Assessment	Conduct post launch review
2.1.3.5.1	12772	Train employees on appropriate regulatory requirements	12772-TrainEmployeesOnAppropriateRegulatoryRequirements.mdx	Train	Employees On Appropriate Regulatory Requirements	Manage regulatory requirements
2.1.3.5.2	12773	Maintain records for regulatory agencies	12773-MaintainRecordsForRegulatoryAgencies.mdx	Maintain	Records For Regulatory Agencies	Manage regulatory requirements
2.1.3.5.3	12776	Manage regulatory submission life cycle	12776-ManageRegulatorySubmissionLifeCycle.mdx	Manage	Regulatory Submission Life Cycle	Manage regulatory requirements
2.2.3.1.1	19991	Define basic functional requirements	19991-DefineBasicFunctionalRequirements.mdx	Define	Basic Functional Requirements	Define product/service requirements
2.2.3.1.2	16808	Derive interoperability requirements for products and services	16808-DeriveInteroperabilityRequirementsForProductsAndServices.mdx	Derive	Interoperability Requirements For Products And Services	Define product/service requirements
2.2.3.1.3	16809	Derive safety requirements for products and services	16809-DeriveSafetyRequirementsForProductsAndServices.mdx	Derive	Safety Requirements For Products And Services	Define product/service requirements
2.2.3.1.4	16810	Derive security requirements for products and services	16810-DeriveSecurityRequirementsForProductsAndServices.mdx	Derive	Security Requirements For Products And Services	Define product/service requirements
2.2.3.1.5	16811	Derive regulatory compliance requirements	16811-DeriveRegulatoryComplianceRequirements.mdx	Derive	Regulatory Compliance Requirements	Define product/service requirements
2.2.3.1.6	16812	Derive requirements from industry standards	16812-DeriveRequirementsFromIndustryStandards.mdx	Derive	Requirements From Industry Standards	Define product/service requirements
2.2.3.1.7	19992	Develop user experience requirements	19992-DevelopUserExperienceRequirements.mdx	Develop	User Experience Requirements	Define product/service requirements
2.2.3.1.8	16814	Derive ‘services-as-a-product’ offering	16814-DeriveServicesAsAProductOffering.mdx	Derive	‘services-as-a-product’ Offering	Define product/service requirements
2.3.1.1.1	19994	Identify requirements for product/service design/development partners	19994-IdentifyRequirementsForProductServiceDesignDevelopmentPartners.mdx	Identify	Requirements For Product/service Design/development Partners	Assign resources to product/service project
2.3.1.8.1	16819	Design for manufacturing	16819-DesignForManufacturing.mdx	Design	For Manufacturing	Design products/services
2.3.1.8.2	16820	Design for product servicing	16820-DesignForProductServicing.mdx	Design	For Product Servicing	Design products/services
2.3.1.8.3	16821	Design for re-manufacturing	16821-DesignForReManufacturing.mdx	Design	For Re-manufacturing	Design products/services
2.3.1.8.4	16822	Review product troubleshooting methodology	16822-ReviewProductTroubleshootingMethodology.mdx	Review	Product Troubleshooting Methodology	Design products/services
2.3.1.8.5	16818	Design and manage product data, design, and bill of materials	16818-DesignAndManageProductDataDesignAndBillOfMaterials.mdx	Design	And Manage Product Data, Design, And Bill Of Materials	Design products/services
2.3.1.8.6	16823	Design for product upgrades	16823-DesignForProductUpgrades.mdx	Design	For Product Upgrades	Design products/services
2.3.1.9.1	11355	Collaborate design with suppliers and contract manufacturers	11355-CollaborateDesignWithSuppliersAndContractManufacturers.mdx	Collaborate	Design With Suppliers And Contract Manufacturers	Build prototypes/proof of concepts
2.3.1.9.2	11357	Work with manufacturers on process/manufacturing	11357-WorkWithManufacturersOnProcessManufacturing.mdx	Work	With Manufacturers On Process/manufacturing	Build prototypes/proof of concepts
2.3.1.9.3	11366	Build prototypes	11366-BuildPrototypes.mdx	Build	Prototypes	Build prototypes/proof of concepts
2.3.1.9.4	11371	Refine product/service to eliminate quality and reliability problems	11371-RefineProductServiceToEliminateQualityAndReliabilityProblems.mdx	Refine	Product/service To Eliminate Quality And Reliability Problems	Build prototypes/proof of concepts
2.3.1.9.5	11372	Conduct in-house product/service testing and evaluate feasibility	11372-ConductInHouseProductServiceTestingAndEvaluateFeasibility.mdx	Conduct	In-house Product/service Testing And Evaluate Feasibility	Build prototypes/proof of concepts
2.3.1.9.6	11373	Identify design/development performance indicators	11373-IdentifyDesignDevelopmentPerformanceIndicators.mdx	Identify	Design/development Performance Indicators	Build prototypes/proof of concepts
2.3.1.9.7	11374	Revise business case and make go/no go decision	11374-ReviseBusinessCaseAndMakeGoNoGoDecision.mdx	Revise	Business Case And Make Go/no Go Decision	Build prototypes/proof of concepts
2.3.1.13.1	11401	Refine formulation based on market research, technical and cost analysis	11401-RefineFormulationBasedOnMarketResearchTechnicalAndCostAnalysis.mdx	Refine	Formulation Based On Market Research, Technical And Cost Analysis	Develop first run/sample products
2.3.1.13.2	11403	Outline initial processing parameters	11403-OutlineInitialProcessingParameters.mdx	Outline	Initial Processing Parameters	Develop first run/sample products
2.3.1.13.3	11404	Develop final product and manufacturing costs	11404-DevelopFinalProductAndManufacturingCosts.mdx	Develop	Final Product And Manufacturing Costs	Develop first run/sample products
2.3.1.13.4	11405	Revise financial analysis	11405-ReviseFinancialAnalysis.mdx	Revise	Financial Analysis	Develop first run/sample products
3.1.1.1.1	19637	Study competitor category and brand positioning (e.g. by benchmarking competitor products)	19637-StudyCompetitorCategoryAndBrandPositioningEGByBenchmarkingCompetitorProducts.mdx	Study	Competitor Category And Brand Positioning (e.g. By Benchmarking Competitor Products)	Conduct customer and market research
3.1.1.1.2	19638	Study customer segmentation patterns (e.g. by performing data driven segmentation analysis)	19638-StudyCustomerSegmentationPatternsEGByPerformingDataDrivenSegmentationAnalysis.mdx	Study	Customer Segmentation Patterns (e.g. By Performing Data Driven Segmentation Analysis)	Conduct customer and market research
3.1.1.1.3	10114	Understand consumer needs and predict customer purchasing behavior	10114-UnderstandConsumerNeedsAndPredictCustomerPurchasingBehavior.mdx	Understand	Consumer Needs And Predict Customer Purchasing Behavior	Conduct customer and market research
3.1.1.1.4	11327	Identify brand and portfolio gaps	11327-IdentifyBrandAndPortfolioGaps.mdx	Identify	Brand And Portfolio Gaps	Conduct customer and market research
3.1.1.4.1	10115	Determine market share gain/loss	10115-DetermineMarketShareGainLoss.mdx	Determine	Market Share Gain/loss	Identify market segments
3.1.2.2.1	18941	Identify under-served and saturated market segments	18941-IdentifyUnderServedAndSaturatedMarketSegments.mdx	Identify	Under-served And Saturated Market Segments	Determine target segments
3.1.2.4.1	10120	Test with customers/consumers	10120-TestWithCustomersConsumers.mdx	Test	With Customers/consumers	Validate opportunities
3.1.2.4.2	10121	Confirm internal capabilities	10121-ConfirmInternalCapabilities.mdx	Confirm	Internal Capabilities	Validate opportunities
3.2.4.7.1	16590	Define omni-channel strategy	16590-DefineOmniChannelStrategy.mdx	Define	Omni-channel Strategy	Orchestrate seamless customer experience across supported channels
3.2.4.7.2	16591	Define omni-channel requirements	16591-DefineOmniChannelRequirements.mdx	Define	Omni-channel Requirements	Orchestrate seamless customer experience across supported channels
3.2.4.7.3	16592	Develop omni-channel policies and procedures	16592-DevelopOmniChannelPoliciesAndProcedures.mdx	Develop	Omni-channel Policies And Procedures	Orchestrate seamless customer experience across supported channels
3.2.4.9.1	19641	Define and manage on-line e-retail and marketplace strategy	19641-DefineAndManageOnLineERetailAndMarketplaceStrategy.mdx	Define	And Manage On-line E-retail And Marketplace Strategy	Define and manage channel/store format strategy
3.3.3.9.1	11410	Create and release final advertising	11410-CreateAndReleaseFinalAdvertising.mdx	Create	And Release Final Advertising	Develop and execute advertising
3.4.1.1.1	19642	Gather post event analysis tracking of sales at retail	19642-GatherPostEventAnalysisTrackingOfSalesAtRetail.mdx	Gather	Post Event Analysis Tracking Of Sales At Retail	Gather current and historic order information
3.4.1.1.2	19643	Gather sales/inventory data from retail for trade wide sales forecast	19643-GatherSalesInventoryDataFromRetailForTradeWideSalesForecast.mdx	Gather	Sales/inventory Data From Retail For Trade Wide Sales Forecast	Gather current and historic order information
3.5.1.8.1	20012	Manage customer meetings/workshops	20012-ManageCustomerMeetingsWorkshops.mdx	Manage	Customer Meetings/workshops	Manage customer sales calls
3.5.2.7.1	16598	Collect and merge internal and third-party customer information	16598-CollectAndMergeInternalAndThirdPartyCustomerInformation.mdx	Collect	And Merge Internal And Third-party Customer Information	Manage customer master data
3.5.2.7.2	16599	De-duplicate customer data	16599-DeDuplicateCustomerData.mdx	De-duplicate	Customer Data	Manage customer master data
3.5.4.2.1	10201	Administer key account details	10201-AdministerKeyAccountDetails.mdx	Administer	Key Account Details	Collect and maintain account information
3.5.4.2.2	10202	Retrieve full customer details	10202-RetrieveFullCustomerDetails.mdx	Retrieve	Full Customer Details	Collect and maintain account information
3.5.4.2.3	10203	Modify involved party details	10203-ModifyInvolvedPartyDetails.mdx	Modify	Involved Party Details	Collect and maintain account information
3.5.4.2.4	10204	Record address details	10204-RecordAddressDetails.mdx	Record	Address Details	Collect and maintain account information
3.5.4.2.5	10205	Record contact details	10205-RecordContactDetails.mdx	Record	Contact Details	Collect and maintain account information
3.5.4.2.6	10206	Record key customer communication profile details	10206-RecordKeyCustomerCommunicationProfileDetails.mdx	Record	Key Customer Communication Profile Details	Collect and maintain account information
3.5.4.2.7	10207	Review involved party information	10207-ReviewInvolvedPartyInformation.mdx	Review	Involved Party Information	Collect and maintain account information
3.5.4.2.8	10208	Terminate involved party information	10208-TerminateInvolvedPartyInformation.mdx	Terminate	Involved Party Information	Collect and maintain account information
3.5.5.1.1	20019	Provide certification enablement training	20019-ProvideCertificationEnablementTraining.mdx	Provide	Certification Enablement Training	Provide sales and product/service training to sales partners/alliances
3.5.5.1.2	20020	Manage certifications and skills	20020-ManageCertificationsAndSkills.mdx	Manage	Certifications And Skills	Provide sales and product/service training to sales partners/alliances
3.5.5.1.3	20021	Provide support to partners/alliances	20021-ProvideSupportToPartnersAlliances.mdx	Provide	Support To Partners/alliances	Provide sales and product/service training to sales partners/alliances
3.5.5.1.4	18641	Provide marketing materials to sales partners/alliances	18641-ProvideMarketingMaterialsToSalesPartnersAlliances.mdx	Provide	Marketing Materials To Sales Partners/alliances	Provide sales and product/service training to sales partners/alliances
4.3.2.6.1	19567	Automate and control plant	19567-AutomateAndControlPlant.mdx	Automate	And Control Plant	Monitor and optimize production process
4.3.2.6.2	19568	Perform advanced process control	19568-PerformAdvancedProcessControl.mdx	Perform	Advanced Process Control	Monitor and optimize production process
4.3.2.6.3	19569	Perform real-time optimization	19569-PerformRealTimeOptimization.mdx	Perform	Real-time Optimization	Monitor and optimize production process
4.3.2.6.4	19570	Manage plant alarms and alerts	19570-ManagePlantAlarmsAndAlerts.mdx	Manage	Plant Alarms And Alerts	Monitor and optimize production process
4.4.2.6.1	10366	Perform salvage activities	10366-PerformSalvageActivities.mdx	Perform	Salvage Activities	Salvage or repair returned products
4.4.2.6.2	14195	Manage repair/refurbishment and return to customer/stock	14195-ManageRepairRefurbishmentAndReturnToCustomerStock.mdx	Manage	Repair/refurbishment And Return To Customer/stock	Salvage or repair returned products
5.3.1.6.1	20066	Establish people objectives	20066-EstablishPeopleObjectives.mdx	Establish	People Objectives	Identify, select, and assign resources
5.3.1.6.2	20067	Establish engagement rules	20067-EstablishEngagementRules.mdx	Establish	Engagement Rules	Identify, select, and assign resources
6.3.2.3.1	19657	Define issue	19657-DefineIssue.mdx	Define	Issue	Investigate warranty issues
6.3.2.3.2	12677	Schedule field service	12677-ScheduleFieldService.mdx	Schedule	Field Service	Investigate warranty issues
6.3.2.3.3	12678	Request and receive defective part	12678-RequestAndReceiveDefectivePart.mdx	Request	And Receive Defective Part	Investigate warranty issues
6.3.2.3.4	19658	Investigate issue/perform root cause analysis	19658-InvestigateIssuePerformRootCauseAnalysis.mdx	Investigate	Issue/perform Root Cause Analysis	Investigate warranty issues
6.3.2.3.5	19659	Receive investigation result and recommendation for corrective action	19659-ReceiveInvestigationResultAndRecommendationForCorrectiveAction.mdx	Receive	Investigation Result And Recommendation For Corrective Action	Investigate warranty issues
6.3.5.1.1	10324	Process customer request	10324-ProcessCustomerRequest.mdx	Process	Customer Request	Confirm specific service requirements for individual customer
6.3.5.1.2	10325	Create customer profile	10325-CreateCustomerProfile.mdx	Create	Customer Profile	Confirm specific service requirements for individual customer
6.3.5.1.3	10326	Generate service order	10326-GenerateServiceOrder.mdx	Generate	Service Order	Confirm specific service requirements for individual customer
6.3.5.2.1	10327	Create resourcing plan and schedule	10327-CreateResourcingPlanAndSchedule.mdx	Create	Resourcing Plan And Schedule	Identify and schedule resources to meet service requirements
6.3.5.2.2	10328	Create service order fulfillment schedule	10328-CreateServiceOrderFulfillmentSchedule.mdx	Create	Service Order Fulfillment Schedule	Identify and schedule resources to meet service requirements
6.3.5.3.1	10330	Organize daily service order fulfillment schedule	10330-OrganizeDailyServiceOrderFulfillmentSchedule.mdx	Organize	Daily Service Order Fulfillment Schedule	Provide service to specific customers
6.3.5.3.2	10331	Execute product repair	10331-ExecuteProductRepair.mdx	Execute	Product Repair	Provide service to specific customers
6.3.5.3.3	10332	Manage service order fulfillment	10332-ManageServiceOrderFulfillment.mdx	Manage	Service Order Fulfillment	Provide service to specific customers
6.3.5.4.1	10334	Identify completed service orders for feedback	10334-IdentifyCompletedServiceOrdersForFeedback.mdx	Identify	Completed Service Orders For Feedback	Ensure quality of service
6.3.5.4.2	10335	Identify incomplete service orders and service failures	10335-IdentifyIncompleteServiceOrdersAndServiceFailures.mdx	Identify	Incomplete Service Orders And Service Failures	Ensure quality of service
6.3.5.4.3	10336	Solicit customer feedback on services delivered	10336-SolicitCustomerFeedbackOnServicesDelivered.mdx	Solicit	Customer Feedback On Services Delivered	Ensure quality of service
6.3.5.4.4	10337	Process customer feedback on services delivered	10337-ProcessCustomerFeedbackOnServicesDelivered.mdx	Process	Customer Feedback On Services Delivered	Ensure quality of service
7.1.2.3.1	10210	Establish incentive plan	10210-EstablishIncentivePlan.mdx	Establish	Incentive Plan	Develop compensation plan
7.2.5.3.1	20124	Complete position classification and level of experience	20124-CompletePositionClassificationAndLevelOfExperience.mdx	Complete	Position Classification And Level Of Experience	Manage/track applicant data
7.3.1.1.1	10477	Develop employee induction program	10477-DevelopEmployeeInductionProgram.mdx	Develop	Employee Induction Program	Create/maintain employee on-boarding program
7.3.1.1.2	10478	Maintain/Update employee induction program	10478-MaintainUpdateEmployeeInductionProgram.mdx	Maintain/Update	Employee Induction Program	Create/maintain employee on-boarding program
7.3.4.6.1	20126	Liaise with external certification authorities	20126-LiaiseWithExternalCertificationAuthorities.mdx	Liaise	With External Certification Authorities	Manage examinations and certifications
7.3.4.6.2	20127	Administer certification tests	20127-AdministerCertificationTests.mdx	Administer	Certification Tests	Manage examinations and certifications
7.3.4.6.3	20128	Appraise experience qualifications	20128-AppraiseExperienceQualifications.mdx	Appraise	Experience Qualifications	Manage examinations and certifications
7.3.4.6.4	20129	Administer certificate issue and maintenance	20129-AdministerCertificateIssueAndMaintenance.mdx	Administer	Certificate Issue And Maintenance	Manage examinations and certifications
8.5.4.1.1	20810	Assess and validate IT service/solution requirements	20810-AssessAndValidateItServiceSolutionRequirements.mdx	Assess	And Validate IT Service/solution Requirements	Execute IT service/solution development lifecycle
8.5.4.1.2	20811	Create service/solution design	20811-CreateServiceSolutionDesign.mdx	Create	Service/solution Design	Execute IT service/solution development lifecycle
8.5.4.1.3	20812	Build and test IT service/solution components	20812-BuildAndTestItServiceSolutionComponents.mdx	Build	And Test IT Service/solution Components	Execute IT service/solution development lifecycle
8.5.4.1.4	20813	Integrate IT components and services	20813-IntegrateItComponentsAndServices.mdx	Integrate	IT Components And Services	Execute IT service/solution development lifecycle
8.5.4.1.5	20814	Execute IT service/solution validation	20814-ExecuteItServiceSolutionValidation.mdx	Execute	IT Service/solution Validation	Execute IT service/solution development lifecycle
8.5.4.1.6	20815	Bundle service/solution deployment packaging	20815-BundleServiceSolutionDeploymentPackaging.mdx	Bundle	Service/solution Deployment Packaging	Execute IT service/solution development lifecycle
8.5.4.1.7	20816	Manage service/solution process exceptions	20816-ManageServiceSolutionProcessExceptions.mdx	Manage	Service/solution Process Exceptions	Execute IT service/solution development lifecycle
8.5.5.1.1	20819	Assess IT remediation	20819-AssessItRemediation.mdx	Assess	IT Remediation	Execute IT service/solution maintenance lifecycle
8.5.5.1.2	20820	Modify service/solution design	20820-ModifyServiceSolutionDesign.mdx	Modify	Service/solution Design	Execute IT service/solution maintenance lifecycle
8.5.5.1.3	20821	Perform IT service/solution remediation	20821-PerformItServiceSolutionRemediation.mdx	Perform	IT Service/solution Remediation	Execute IT service/solution maintenance lifecycle
8.5.5.1.4	20822	Manage service/solution operations	20822-ManageServiceSolutionOperations.mdx	Manage	Service/solution Operations	Execute IT service/solution maintenance lifecycle
8.5.5.1.5	20823	Prepare fixed/enhanced service/solution packaging	20823-PrepareFixedEnhancedServiceSolutionPackaging.mdx	Prepare	Fixed/enhanced Service/solution Packaging	Execute IT service/solution maintenance lifecycle
8.7.3.1.1	20882	Schedule service delivery resources	20882-ScheduleServiceDeliveryResources.mdx	Schedule	Service Delivery Resources	Plan operational activities for IT service delivery
8.7.3.1.2	20883	Maintain/optimize batch job schedule	20883-MaintainOptimizeBatchJobSchedule.mdx	Maintain/optimize	Batch Job Schedule	Plan operational activities for IT service delivery
8.7.3.1.3	20884	Schedule change/release windows	20884-ScheduleChangeReleaseWindows.mdx	Schedule	Change/release Windows	Plan operational activities for IT service delivery
8.7.3.1.4	20885	Schedule/optimize backup and archive activities	20885-ScheduleOptimizeBackupAndArchiveActivities.mdx	Schedule/optimize	Backup And Archive Activities	Plan operational activities for IT service delivery
8.7.3.1.5	20886	Balance operational workloads across available infrastructure components	20886-BalanceOperationalWorkloadsAcrossAvailableInfrastructureComponents.mdx	Balance	Operational Workloads Across Available Infrastructure Components	Plan operational activities for IT service delivery
8.7.3.1.6	20887	Determine specific problem support procedures	20887-DetermineSpecificProblemSupportProcedures.mdx	Determine	Specific Problem Support Procedures	Plan operational activities for IT service delivery
9.7.6.2.1	19575	Manage interest rate market data	19575-ManageInterestRateMarketData.mdx	Manage	Interest Rate Market Data	Manage interest rate risk
9.7.6.2.2	19576	Determine interest rate exposure for all markets	19576-DetermineInterestRateExposureForAllMarkets.mdx	Determine	Interest Rate Exposure For All Markets	Manage interest rate risk
9.7.6.2.3	19577	Determine interest rate hedge requirements in accordance with risk policy	19577-DetermineInterestRateHedgeRequirementsInAccordanceWithRiskPolicy.mdx	Determine	Interest Rate Hedge Requirements In Accordance With Risk Policy	Manage interest rate risk
9.7.6.2.4	19578	Execute interest rate trades	19578-ExecuteInterestRateTrades.mdx	Execute	Interest Rate Trades	Manage interest rate risk
9.7.6.3.1	19579	Manage foreign exchange market data	19579-ManageForeignExchangeMarketData.mdx	Manage	Foreign Exchange Market Data	Manage foreign exchange risk
9.7.6.3.2	19580	Determine foreign exchange exposure for all currencies	19580-DetermineForeignExchangeExposureForAllCurrencies.mdx	Determine	Foreign Exchange Exposure For All Currencies	Manage foreign exchange risk
9.7.6.3.3	19581	Determine foreign exchange hedge requirements in accordance with risk policy	19581-DetermineForeignExchangeHedgeRequirementsInAccordanceWithRiskPolicy.mdx	Determine	Foreign Exchange Hedge Requirements In Accordance With Risk Policy	Manage foreign exchange risk
9.7.6.3.4	19582	Execute foreign exchange trades	19582-ExecuteForeignExchangeTrades.mdx	Execute	Foreign Exchange Trades	Manage foreign exchange risk
9.7.6.3.5	19583	Manage foreign exchange balance sheet risk	19583-ManageForeignExchangeBalanceSheetRisk.mdx	Manage	Foreign Exchange Balance Sheet Risk	Manage foreign exchange risk
9.7.6.4.1	19584	Determine current customer exposures and limit exceptions	19584-DetermineCurrentCustomerExposuresAndLimitExceptions.mdx	Determine	Current Customer Exposures And Limit Exceptions	Manage exposure risk
9.7.6.4.2	19585	Resolve customer exposure limit violations	19585-ResolveCustomerExposureLimitViolations.mdx	Resolve	Customer Exposure Limit Violations	Manage exposure risk
9.7.6.4.3	19586	Manage customer collateral	19586-ManageCustomerCollateral.mdx	Manage	Customer Collateral	Manage exposure risk
9.7.6.4.4	19587	Perform annual customer credit reviews	19587-PerformAnnualCustomerCreditReviews.mdx	Perform	Annual Customer Credit Reviews	Manage exposure risk
9.7.6.5.1	19588	Measure physical positions	19588-MeasurePhysicalPositions.mdx	Measure	Physical Positions	Execute hedging transactions
9.7.6.5.2	19589	Establish hedges	19589-EstablishHedges.mdx	Establish	Hedges	Execute hedging transactions
9.7.6.5.3	19590	Unwind hedges	19590-UnwindHedges.mdx	Unwind	Hedges	Execute hedging transactions
9.7.6.5.4	11213	Evaluate and refine hedging positions	11213-EvaluateAndRefineHedgingPositions.mdx	Evaluate	And Refine Hedging Positions	Execute hedging transactions
9.7.6.5.5	11215	Monitor credit	11215-MonitorCredit.mdx	Monitor	Credit	Execute hedging transactions
11.1.4.3.1	18129	Assess adequacy of insurance coverage	18129-AssessAdequacyOfInsuranceCoverage.mdx	Assess	Adequacy Of Insurance Coverage	Develop mitigation plans for risks
13.1.3.2.1	20140	Identify published best practices	20140-IdentifyPublishedBestPractices.mdx	Identify	Published Best Practices	Analyze processes
13.1.4.3.1	20141	Identify additional metrics as required	20141-IdentifyAdditionalMetricsAsRequired.mdx	Identify	Additional Metrics As Required	Measure and report process performance
13.2.3.1.1	11117	Identify project requirements and objectives	11117-IdentifyProjectRequirementsAndObjectives.mdx	Identify	Project Requirements And Objectives	Establish project scope
13.2.3.1.2	16412	Identify project resource requirements	16412-IdentifyProjectResourceRequirements.mdx	Identify	Project Resource Requirements	Establish project scope
13.2.3.1.3	11118	Assess culture and readiness for project management approach	11118-AssessCultureAndReadinessForProjectManagementApproach.mdx	Assess	Culture And Readiness For Project Management Approach	Establish project scope
13.2.3.1.4	11120	Create business case and obtain funding	11120-CreateBusinessCaseAndObtainFunding.mdx	Create	Business Case And Obtain Funding	Establish project scope
13.2.3.1.5	11121	Develop project measures and indicators	11121-DevelopProjectMeasuresAndIndicators.mdx	Develop	Project Measures And Indicators	Establish project scope
13.2.3.3.1	11123	Define roles and resources	11123-DefineRolesAndResources.mdx	Define	Roles And Resources	Develop project plans
13.2.3.3.2	20142	Acquire/secure project resources	20142-AcquireSecureProjectResources.mdx	Acquire/secure	Project Resources	Develop project plans
13.2.3.3.3	11124	Identify specific IT requirements	11124-IdentifySpecificItRequirements.mdx	Identify	Specific IT Requirements	Develop project plans
13.2.3.3.4	11125	Create training and communication plans	11125-CreateTrainingAndCommunicationPlans.mdx	Create	Training And Communication Plans	Develop project plans
13.2.3.3.5	11127	Design recognition and reward approaches	11127-DesignRecognitionAndRewardApproaches.mdx	Design	Recognition And Reward Approaches	Develop project plans
13.2.3.3.6	11128	Design and plan launch of project	11128-DesignAndPlanLaunchOfProject.mdx	Design	And Plan Launch Of Project	Develop project plans
13.2.3.3.7	11129	Deploy the project	11129-DeployTheProject.mdx	Deploy	Project	Develop project plans
13.2.3.4.1	11131	Evaluate impact of project management (strategy and projects) on measures and outcomes	11131-EvaluateImpactOfProjectManagementStrategyAndProjectsOnMeasuresAndOutcomes.mdx	Evaluate	Impact Of Project Management (strategy And Projects) On Measures And Outcomes	Execute projects
13.2.3.4.2	16415	Report the status of project	16415-ReportTheStatusOfProject.mdx	Report	Status Of Project	Execute projects
13.2.3.4.3	16416	Manage project scope	16416-ManageProjectScope.mdx	Manage	Project Scope	Execute projects
13.2.3.4.4	11132	Promote and sustain activity and involvement	11132-PromoteAndSustainActivityAndInvolvement.mdx	Promote	And Sustain Activity And Involvement	Execute projects
13.2.3.4.5	11133	Realign and refresh project management strategy and approaches	11133-RealignAndRefreshProjectManagementStrategyAndApproaches.mdx	Realign	And Refresh Project Management Strategy And Approaches	Execute projects
13.3.1.3.1	17476	Define process steps for controls (or integration points)	17476-DefineProcessStepsForControlsOrIntegrationPoints.mdx	Define	Process Steps For Controls (or Integration Points)	Develop quality controls
