industry	pcfId	hierarchyId	crossIndustryName	industryName
automotive	11147	13.4.1.10	Assess cultural context	Assess cultural issues
automotive	11157	13.4.2.7	Establish change adoption measures	Establish change adoption metrics
automotive	11075	13.6.1.1	Define enterprise measurement models	Create enterprise measurement systems model
automotive	11085	13.6.2.3	Conduct internal and external benchmarking	Conduct internal process and external competitive benchmarking
automotive	20147	13.6.3	Evaluate performance	Evaluate process performance
automotive	10270	13.6.3.1	Establish performance indicators (measures)	Establish appropriate performance indicators (metrics)
automotive	10274	13.6.3.6	Analyze performance	Analyze performance against benchmark data
automotive	10275	13.6.3.7	Prepare performance reports	Prepare reports
automotive	11181	13.7.2	Develop EHS program	Develop and execute functional EHS program
automotive	11195	13.7.4.5	Provide EHS support	Provide employees with EHS support
automotive	20959	13.8	Develop, manage, and deliver analytics	Develop, Manage, and Deliver Analytics
automotive	20963	13.8.4	Report on analysis	Report on data
broadcasting	10021	1.1.1.2	Analyze and evaluate competition	Analyze and Evaluate competition
broadcasting	10023	1.1.1.4	Identify political and regulatory factors	Identify political and regulatory issues
broadcasting	10024	1.1.1.5	Assess new technologies	Assess new technology innovations
broadcasting	10027	1.1.1.8	Identify environmental factors	Identify ecological concerns
broadcasting	16790	1.1.1.9	Evaluate intellectual property	Identify intellectual property concerns
broadcasting	10038	1.1.9	Define and evaluate strategic options to achieve the mission	Define and evaluate strategic options to achieve the objectives
broadcasting	19952	1.1.9.12	Develop innovation strategy	Develop innovation strategy and framework
broadcasting	10039	1.1.10	Set/Develop long-term enterprise strategy	Select long-term business strategy
broadcasting	10040	1.1.11	Coordinate and align cross-functional and process strategies	Coordinate and align functional and process strategies
broadcasting	10042	1.1.13	Develop and set organizational objectives	Develop and set organizational goals
broadcasting	19953	1.1.13.1	Identify organizational objectives	Identify organizational goals
broadcasting	19955	1.1.13.3	Monitor performance against objective	Monitor performance against goals
broadcasting	19958	1.1.14.3	Refine business unit strategies in support of organizational strategy	Refine business unit strategies in support of company strategy
broadcasting	10016	1.2	Develop and measure strategic initiatives	Execute and measure strategic initiatives
broadcasting	10114	3.1.1.1.1	Understand consumer needs and historical behaviors	Understand consumer needs and predict customer purchasing behavior
broadcasting	16573	3.2.5.1	Establish channel-specific measures and targets	Establish channel-specific metrics and targets
broadcasting	16500	3.2.5.4	Analyze channel performance	Analyze performance
broadcasting	16501	3.2.5.5	Develop plan for channel improvements	Develop plan for improvements
broadcasting	10148	3.3.1	Establish goals, objectives, and measures for products/services by channel/segment	Establish goals, objectives, and metrics for products/services by channel/segment
broadcasting	16629	3.3.9	Manage product marketing material	Manage product marketing content
broadcasting	20022	4.0	Manage Supply Chain for Physical Products	Deliver Physical Products
broadcasting	10294	4.2.4.3	Solicit supplier quotes	Solicit/Track vendor quotes
broadcasting	10300	4.2.5.2	Prepare/Analyze procurement and supplier performance	Prepare/Analyze procurement and vendor performance
broadcasting	10315	4.3.1.5	Plan for preventive maintenance	Schedule preventive (planned) maintenance (preventive maintenance orders)
broadcasting	10316	4.3.1.6	Request unplanned maintenance	Schedule requested (unplanned) maintenance (work order cycle)
broadcasting	12708	4.4.2.5	Determine quality of controlled part	Control quality of returned parts
broadcasting	20109	4.4.2.6	Manage disposition of returned products	Salvage or repair returned products
broadcasting	10353	4.4.3.1	Manage and track inventory deployment	Track inventory deployment
broadcasting	10378	6.1	Develop customer service strategy	Develop customer care/customer service strategy
broadcasting	20089	6.1.7	Define warranty claims	Define warranty offering
broadcasting	17043	7.1	Develop and manage human resources planning, policies, and strategies	Develop and manage human resources (HR) planning, policies, and strategies
broadcasting	10423	7.1.2.1	Perform workforce planning	Gather skill requirements according to corporate strategy and market environment
broadcasting	10424	7.1.2.2	Perform operational workforce planning	Plan employee resourcing requirements per business unit/organization
broadcasting	10425	7.1.2.3	Develop compensation strategy	Develop compensation plan
broadcasting	10210	7.1.2.3.1	Establish incentive strategy	Establish incentive plan
broadcasting	10427	7.1.2.6	Develop diversity, equity, and inclusion plan	Develop employee diversity plan
broadcasting	11622	7.1.2.7	Design talent development program	Develop training program
broadcasting	11623	7.1.2.8	Design talent acquisition program	Develop recruitment program
broadcasting	20599	7.3	Manage employee onboarding, training, and development	Manage employee on-boarding, development, and training
broadcasting	10474	7.3.1.1	Create/maintain employee onboarding program	Create/maintain employee on-boarding program
broadcasting	11243	7.3.1.2	Evaluate the effectiveness of the employee onboarding program	Evaluate the effectiveness of the employee on-boarding program
broadcasting	17050	7.3.1.3	Execute onboarding program	Execute on-boarding program
broadcasting	10472	7.3.3	Manage employee career development	Manage employee development
broadcasting	16940	7.3.4.2	Define employee competencies and skills	Define employee competencies
broadcasting	10491	7.3.4.3	Align learning programs with competencies and skills	Align learning programs with competencies
broadcasting	10526	7.7.5	Develop and manage employee measures	Develop and manage employee metrics
broadcasting	20620	8.1.3.3	Determine IT performance indicators	Determine  IT performance indicators
broadcasting	20644	8.1.6.3	Understand IT customer environment	Understand  IT customer environment
broadcasting	20663	8.2.2.3	Evaluate proposed IT investment projects	Evaluate  proposed IT investment projects
broadcasting	20675	8.2.4.1	Establish IT service management strategy and goals	Establish  IT service management strategy and goals
broadcasting	20676	8.2.4.2	Identify IT service operating and process requirements	Identify  IT service operating and process requirements
broadcasting	20690	8.2.5.8	Report IT service and project performance	Report  IT service and project performance
broadcasting	20705	8.2.7.7	Develop and plan IT investment projects	Develop and plan  IT investment projects
broadcasting	20714	8.3.1.9	Evaluate IT-related risks resiliency	Evaluate  IT-related risks resiliency
broadcasting	20754	8.3.7.5	Provide IT resilience training	Provide  IT resilience training
broadcasting	20774	8.4.2.4	Establish data ownership and stewardship responsibilities	Establish  data ownership and stewardship responsibilities
broadcasting	20779	8.4.4	Manage business information	Manage business information content
broadcasting	10747	9.3.1	Manage financial policies and procedures	Manage policies and procedures
broadcasting	10957	10.1.1.3	Determine build, buy, or lease decision	Determine build or buy decision
broadcasting	19209	10.2.1	Manage capital program for assets	Manage capital program for productive assets
broadcasting	19238	10.3	Maintain assets	Maintain productive assets
broadcasting	11120	13.2.3.1.4	Create business case	Create business case and obtain funding
broadcasting	11147	13.4.1.10	Assess cultural context	Assess cultural issues
broadcasting	11157	13.4.2.7	Establish change adoption measures	Establish change adoption metrics
broadcasting	11075	13.6.1.1	Define enterprise measurement models	Create enterprise measurement systems model
broadcasting	11085	13.6.2.3	Conduct internal and external benchmarking	Conduct internal process and external competitive benchmarking
broadcasting	20147	13.6.3	Evaluate performance	Evaluate process performance
broadcasting	10270	13.6.3.1	Establish performance indicators (measures)	Establish appropriate performance indicators (metrics)
broadcasting	10274	13.6.3.6	Analyze performance	Analyze performance against benchmark data
broadcasting	10275	13.6.3.7	Prepare performance reports	Prepare reports
broadcasting	11181	13.7.2	Develop EHS program	Develop and execute functional EHS program
broadcasting	11195	13.7.4.5	Provide EHS support	Provide employees with EHS support
broadcasting	20959	13.8	Develop, manage, and deliver analytics	Develop, Manage, and Deliver Analytics
broadcasting	20963	13.8.4	Report on analysis	Report on data
city-government	17040	1.1	Define the business concept and long-term vision	Define the city's comprehensive plan
city-government	10017	1.1.1	Assess the external environment	Identify external influencers and constraints
city-government	10023	1.1.1.3	Identify political and regulatory factors	Identify political and regulatory issues
city-government	10024	1.1.1.4	Assess new technologies	Identify new technology innovations
city-government	10025	1.1.1.5	Analyze demographics	Identify constituent demographics
city-government	10027	1.1.1.7	Identify environmental factors	Identify ecological concerns
city-government	16790	1.1.1.8	Evaluate intellectual property	Identify intellectual property concerns
city-government	10018	1.1.2	Survey market and determine customer needs and wants	Survey constituent needs and wants
city-government	10028	1.1.2.1	Conduct qualitative/quantitative research and assessments	Conduct qualitative/quantitative constituent assessments
city-government	19946	1.1.2.2	Capture customer needs and wants	Capture constituent needs and wants
city-government	19947	1.1.2.3	Assess customer needs and wants	Assess constituent needs and wants
city-government	10019	1.1.3	Assess the internal environment	Assess the city structure
city-government	10034	1.1.3.6	Identify core competencies	Identify the city's core competencies
city-government	10035	1.1.4.2	Align stakeholders around strategic vision	Align constituents around a strategic vision
city-government	10036	1.1.4.3	Communicate strategic vision to stakeholders	Communicate strategic vision to constituents
city-government	16792	1.1.5	Conduct organization restructuring opportunities	Conduct city restructuring opportunities
city-government	16793	1.1.5.1	Identify restructuring opportunities	Identify city restructuring opportunities
city-government	16795	1.1.5.3	Analyze deal options	Analyze structural options
city-government	16797	1.1.5.3.2	Evaluate merger options	Evaluate annexation options
city-government	10015	1.2	Develop business strategy	Develop city strategy
